"kind","code","name","parent"
"division","30","AGRICULTURAL, VETERINARY AND FOOD SCIENCES",""
"division","31","BIOLOGICAL SCIENCES",""
"division","32","BIOMEDICAL AND CLINICAL SCIENCES",""
"division","33","BUILT ENVIRONMENT AND DESIGN",""
"division","34","CHEMICAL SCIENCES",""
"division","35","COMMERCE, MANAGEMENT, TOURISM AND SERVICES",""
"division","36","CREATIVE ARTS AND WRITING",""
"division","37","EARTH SCIENCES",""
"division","38","ECONOMICS",""
"division","39","EDUCATION",""
"division","40","ENGINEERING",""
"division","41","ENVIRONMENTAL SCIENCES",""
"division","42","HEALTH SCIENCES",""
"division","43","HISTORY, HERITAGE AND ARCHAEOLOGY",""
"division","44","HUMAN SOCIETY",""
"division","45","INDIGENOUS STUDIES",""
"division","46","INFORMATION AND COMPUTING SCIENCES",""
"division","47","LANGUAGE, COMMUNICATION AND CULTURE",""
"division","48","LAW AND LEGAL STUDIES",""
"division","49","MATHEMATICAL SCIENCES",""
"division","50","PHILOSOPHY AND RELIGIOUS STUDIES",""
"division","51","PHYSICAL SCIENCES",""
"division","52","PSYCHOLOGY",""
"group","3001","Agricultural biotechnology","30"
"group","3002","Agriculture, land and farm management","30"
"group","3003","Animal production","30"
"group","3004","Crop and pasture production","30"
"group","3005","Fisheries sciences","30"
"group","3006","Food sciences","30"
"group","3007","Forestry sciences","30"
"group","3008","Horticultural production","30"
"group","3009","Veterinary sciences","30"
"group","3099","Other agricultural, veterinary and food sciences","30"
"group","3101","Biochemistry and cell biology","31"
"group","3102","Bioinformatics and computational biology","31"
"group","3103","Ecology","31"
"group","3104","Evolutionary biology","31"
"group","3105","Genetics","31"
"group","3106","Industrial biotechnology","31"
"group","3107","Microbiology","31"
"group","3108","Plant biology","31"
"group","3109","Zoology","31"
"group","3199","Other biological sciences","31"
"group","3201","Cardiovascular medicine and haematology","32"
"group","3202","Clinical sciences","32"
"group","3203","Dentistry","32"
"group","3204","Immunology","32"
"group","3205","Medical biochemistry and metabolomics","32"
"group","3206","Medical biotechnology","32"
"group","3207","Medical microbiology","32"
"group","3208","Medical physiology","32"
"group","3209","Neurosciences","32"
"group","3210","Nutrition and dietetics","32"
"group","3211","Oncology and carcinogenesis","32"
"group","3212","Ophthalmology and optometry","32"
"group","3213","Paediatrics","32"
"group","3214","Pharmacology and pharmaceutical sciences","32"
"group","3215","Reproductive medicine","32"
"group","3299","Other biomedical and clinical sciences","32"
"group","3301","Architecture","33"
"group","3302","Building","33"
"group","3303","Design","33"
"group","3304","Urban and regional planning","33"
"group","3399","Other built environment and design","33"
"group","3401","Analytical chemistry","34"
"group","3402","Inorganic chemistry","34"
"group","3403","Macromolecular and materials chemistry","34"
"group","3404","Medicinal and biomolecular chemistry","34"
"group","3405","Organic chemistry","34"
"group","3406","Physical chemistry","34"
"group","3407","Theoretical and computational chemistry","34"
"group","3499","Other chemical sciences","34"
"group","3501","Accounting, auditing and accountability","35"
"group","3502","Banking, finance and investment","35"
"group","3503","Business systems in context","35"
"group","3504","Commercial services","35"
"group","3505","Human resources and industrial relations","35"
"group","3506","Marketing","35"
"group","3507","Strategy, management and organisational behaviour","35"
"group","3508","Tourism","35"
"group","3509","Transportation, logistics and supply chains","35"
"group","3599","Other commerce, management, tourism and services","35"
"group","3601","Art history, theory and criticism","36"
"group","3602","Creative and professional writing","36"
"group","3603","Music","36"
"group","3604","Performing arts","36"
"group","3605","Screen and digital media","36"
"group","3606","Visual arts","36"
"group","3699","Other creative arts and writing","36"
"group","3701","Atmospheric sciences","37"
"group","3702","Climate change science","37"
"group","3703","Geochemistry","37"
"group","3704","Geoinformatics","37"
"group","3705","Geology","37"
"group","3706","Geophysics","37"
"group","3707","Hydrology","37"
"group","3708","Oceanography","37"
"group","3709","Physical geography and environmental geoscience","37"
"group","3799","Other earth sciences","37"
"group","3801","Applied economics","38"
"group","3802","Econometrics","38"
"group","3803","Economic theory","38"
"group","3899","Other economics","38"
"group","3901","Curriculum and pedagogy","39"
"group","3902","Education policy, sociology and philosophy","39"
"group","3903","Education systems","39"
"group","3904","Specialist studies in education","39"
"group","3999","Other education","39"
"group","4001","Aerospace engineering","40"
"group","4002","Automotive engineering","40"
"group","4003","Biomedical engineering","40"
"group","4004","Chemical engineering","40"
"group","4005","Civil engineering","40"
"group","4006","Communications engineering","40"
"group","4007","Control engineering, mechatronics and robotics","40"
"group","4008","Electrical engineering","40"
"group","4009","Electronics, sensors and digital hardware","40"
"group","4010","Engineering practice and education","40"
"group","4011","Environmental engineering","40"
"group","4012","Fluid mechanics and thermal engineering","40"
"group","4013","Geomatic engineering","40"
"group","4014","Manufacturing engineering","40"
"group","4015","Maritime engineering","40"
"group","4016","Materials engineering","40"
"group","4017","Mechanical engineering","40"
"group","4018","Nanotechnology","40"
"group","4019","Resources engineering and extractive metallurgy","40"
"group","4099","Other engineering","40"
"group","4101","Climate change impacts and adaptation","41"
"group","4102","Ecological applications","41"
"group","4103","Environmental biotechnology","41"
"group","4104","Environmental management","41"
"group","4105","Pollution and contamination","41"
"group","4106","Soil sciences","41"
"group","4199","Other environmental sciences","41"
"group","4201","Allied health and rehabilitation science","42"
"group","4202","Epidemiology","42"
"group","4203","Health services and systems","42"
"group","4204","Midwifery","42"
"group","4205","Nursing","42"
"group","4206","Public health","42"
"group","4207","Sports science and exercise","42"
"group","4208","Traditional, complementary and integrative medicine","42"
"group","4299","Other health sciences","42"
"group","4301","Archaeology","43"
"group","4302","Heritage, archive and museum studies","43"
"group","4303","Historical studies","43"
"group","4399","Other history, heritage and archaeology","43"
"group","4401","Anthropology","44"
"group","4402","Criminology","44"
"group","4403","Demography","44"
"group","4404","Development studies","44"
"group","4405","Gender studies","44"
"group","4406","Human geography","44"
"group","4407","Policy and administration","44"
"group","4408","Political science","44"
"group","4409","Social work","44"
"group","4410","Sociology","44"
"group","4499","Other human society","44"
"group","4501","Aboriginal and Torres Strait Islander culture, language and history","45"
"group","4502","Aboriginal and Torres Strait Islander education","45"
"group","4503","Aboriginal and Torres Strait Islander environmental knowledges and management","45"
"group","4504","Aboriginal and Torres Strait Islander health and wellbeing","45"
"group","4505","Aboriginal and Torres Strait Islander peoples, society and community","45"
"group","4506","Aboriginal and Torres Strait Islander sciences","45"
"group","4507","Te ahurea, reo me te hītori o te Māori (Māori culture, language and history)","45"
"group","4508","Mātauranga Māori (Māori education)","45"
"group","4509","Ngā mātauranga taiao o te Māori (Māori environmental knowledges)","45"
"group","4510","Te hauora me te oranga o te Māori (Māori health and wellbeing)","45"
"group","4511","Ngā tāngata, te porihanga me ngā hapori o te Māori (Māori peoples, society and community)","45"
"group","4512","Ngā pūtaiao Māori (Māori sciences)","45"
"group","4513","Pacific Peoples culture, language and history","45"
"group","4514","Pacific Peoples education","45"
"group","4515","Pacific Peoples environmental knowledges","45"
"group","4516","Pacific Peoples health and wellbeing","45"
"group","4517","Pacific Peoples sciences","45"
"group","4518","Pacific Peoples society and community","45"
"group","4519","Other Indigenous data, methodologies and global Indigenous studies","45"
"group","4599","Other Indigenous studies","45"
"group","4601","Applied computing","46"
"group","4602","Artificial intelligence","46"
"group","4603","Computer vision and multimedia computation","46"
"group","4604","Cybersecurity and privacy","46"
"group","4605","Data management and data science","46"
"group","4606","Distributed computing and systems software","46"
"group","4607","Graphics, augmented reality and games","46"
"group","4608","Human-centred computing","46"
"group","4609","Information systems","46"
"group","4610","Library and information studies","46"
"group","4611","Machine learning","46"
"group","4612","Software engineering","46"
"group","4613","Theory of computation","46"
"group","4699","Other information and computing sciences","46"
"group","4701","Communication and media studies","47"
"group","4702","Cultural studies","47"
"group","4703","Language studies","47"
"group","4704","Linguistics","47"
"group","4705","Literary studies","47"
"group","4799","Other language, communication and culture","47"
"group","4801","Commercial law","48"
"group","4802","Environmental and resources law","48"
"group","4803","International and comparative law","48"
"group","4804","Law in context","48"
"group","4805","Legal systems","48"
"group","4806","Private law and civil obligations","48"
"group","4807","Public law","48"
"group","4899","Other law and legal studies","48"
"group","4901","Applied mathematics","49"
"group","4902","Mathematical physics","49"
"group","4903","Numerical and computational mathematics","49"
"group","4904","Pure mathematics","49"
"group","4905","Statistics","49"
"group","4999","Other mathematical sciences","49"
"group","5001","Applied ethics","50"
"group","5002","History and philosophy of specific fields","50"
"group","5003","Philosophy","50"
"group","5004","Religious studies","50"
"group","5005","Theology","50"
"group","5099","Other philosophy and religious studies","50"
"group","5101","Astronomical sciences","51"
"group","5102","Atomic, molecular and optical physics","51"
"group","5103","Classical physics","51"
"group","5104","Condensed matter physics","51"
"group","5105","Medical and biological physics","51"
"group","5106","Nuclear and plasma physics","51"
"group","5107","Particle and high energy physics","51"
"group","5108","Quantum physics","51"
"group","5109","Space sciences","51"
"group","5110","Synchrotrons and accelerators","51"
"group","5199","Other physical sciences","51"
"group","5201","Applied and developmental psychology","52"
"group","5202","Biological psychology","52"
"group","5203","Clinical and health psychology","52"
"group","5204","Cognitive and computational psychology","52"
"group","5205","Social and personality psychology","52"
"group","5299","Other psychology","52"
"field","300101","Agricultural biotechnology diagnostics (incl. biosensors)","3001"
"field","300102","Agricultural marine biotechnology","3001"
"field","300103","Agricultural molecular engineering of nucleic acids and proteins","3001"
"field","300104","Genetically modified animals","3001"
"field","300105","Genetically modified field crops and pasture","3001"
"field","300106","Genetically modified horticulture plants","3001"
"field","300107","Genetically modified trees","3001"
"field","300108","Livestock cloning","3001"
"field","300109","Non-genetically modified uses of biotechnology","3001"
"field","300110","Transgenesis","3001"
"field","300199","Agricultural biotechnology not elsewhere classified","3001"
"field","300201","Agricultural hydrology","3002"
"field","300202","Agricultural land management","3002"
"field","300203","Agricultural land planning","3002"
"field","300204","Agricultural management of nutrients","3002"
"field","300205","Agricultural production systems simulation","3002"
"field","300206","Agricultural spatial analysis and modelling","3002"
"field","300207","Agricultural systems analysis and modelling","3002"
"field","300208","Farm management, rural management and agribusiness","3002"
"field","300209","Germplasm management","3002"
"field","300210","Sustainable agricultural development","3002"
"field","300299","Agriculture, land and farm management not elsewhere classified","3002"
"field","300301","Animal growth and development","3003"
