"kind","code","name","reviewBoard"
"review-board","1.11","Alte Kulturen",""
"review-board","1.12","Geschichtswissenschaften",""
"review-board","1.13","Kunst-, Musik-, Theater- und Medienwissenschaften",""
"review-board","1.14","Sprachwissenschaften",""
"review-board","1.15","Literaturwissenschaft",""
"review-board","1.16","Sozial- und Kulturanthropologie, Außereuropäische Kulturen, Judaistik und Religionswissenschaft",""
"review-board","1.17","Theologie",""
"review-board","1.18","Philosophie",""
"review-board","1.21","Erziehungswissenschaft und Bildungsforschung",""
"review-board","1.22","Psychologie",""
"review-board","1.23","Sozialwissenschaften",""
"review-board","1.24","Wirtschaftswissenschaften",""
"review-board","1.25","Rechtswissenschaften",""
"review-board","2.11","Grundlagen der Biologie und Medizin",""
"review-board","2.12","Pflanzenwissenschaften",""
"review-board","2.13","Zoologie",""
"review-board","2.21","Mikrobiologie, Virologie und Immunologie",""
"review-board","2.22","Medizin",""
"review-board","2.23","Neurowissenschaften",""
"review-board","2.31","Agrar-, Forstwissenschaften und Tiermedizin",""
"review-board","3.11","Molekülchemie",""
"review-board","3.12","Chemische Festkörper- und Oberflächenforschung",""
"review-board","3.13","Physikalische Chemie",""
"review-board","3.14","Analytische Chemie",""
"review-board","3.15","Biologische Chemie und Lebensmittelchemie",""
"review-board","3.16","Polymerforschung",""
"review-board","3.17","Theoretische Chemie",""
"review-board","3.21","Physik der kondensierten Materie",""
"review-board","3.22","Statistische Physik, Nichtlineare Dynamik, Komplexe Systeme, Weiche und fluide Materie, Biologische Physik",""
"review-board","3.23","Optik, Quantenoptik und Physik der Atome, Moleküle und Plasmen",""
"review-board","3.24","Teilchen, Kerne und Felder",""
"review-board","3.25","Astrophysik und Astronomie",""
"review-board","3.31","Mathematik",""
"review-board","3.41","Atmosphären-, Meeres- und Klimaforschung",""
"review-board","3.42","Geologie und Paläontologie",""
"review-board","3.43","Geophysik und Geodäsie",""
"review-board","3.44","Mineralogie, Petrologie und Geochemie",""
"review-board","3.45","Geographie",""
"review-board","3.46","Wasserforschung",""
"review-board","4.11","Produktionstechnik",""
"review-board","4.12","Mechanik und Konstruktiver Maschinenbau",""
"review-board","4.21","Verfahrenstechnik, Technische Chemie",""
"review-board","4.22","Strömungsmechanik, Technische Thermodynamik und Thermische Energietechnik",""
"review-board","4.31","Werkstofftechnik",""
"review-board","4.32","Materialwissenschaft",""
"review-board","4.41","Systemtechnik",""
"review-board","4.42","Elektrotechnik und Informationstechnik",""
"review-board","4.43","Informatik",""
"review-board","4.51","Bauwesen und Architektur",""
"subject","1.11-01","Ur- und Frühgeschichte (weltweit)","1.11"
"subject","1.11-02","Griechische und Lateinische Philologie","1.11"
"subject","1.11-03","Alte Geschichte","1.11"
"subject","1.11-04","Klassische, Provinzialrömische, Christliche und Islamische Archäologie","1.11"
"subject","1.11-05","Ägyptische und Vorderasiatische Altertumswissenschaften","1.11"
"subject","1.12-01","Mittelalterliche Geschichte","1.12"
"subject","1.12-02","Frühneuzeitliche Geschichte","1.12"
"subject","1.12-03","Neuere und Neueste Geschichte (einschl. Europäische Geschichte der Neuzeit und Außereuropäische Geschichte)","1.12"
"subject","1.12-04","Wissenschaftsgeschichte","1.12"
"subject","1.13-01","Kunstgeschichte","1.13"
"subject","1.13-02","Musikwissenschaften","1.13"
"subject","1.13-03","Theater- und Medienwissenschaften","1.13"
"subject","1.14-01","Allgemeine und Vergleichende Sprachwissenschaft, Experimentelle Linguistik, Typologie, Außereuropäische Sprachen","1.14"
"subject","1.14-02","Einzelsprachwissenschaften, Historische Linguistik","1.14"
"subject","1.14-03","Angewandte Sprachwissenschaften, Computerlinguistik","1.14"
"subject","1.15-01","Germanistische Mediävistik (Ältere deutsche Literatur)","1.15"
"subject","1.15-02","Germanistische Literatur- und Kulturwissenschaften (Neuere deutsche Literatur)","1.15"
"subject","1.15-03","Europäische und Amerikanische Literatur- und Kulturwissenschaften","1.15"
"subject","1.15-04","Allgemeine und vergleichende Literaturwissenschaft; Kulturwissenschaft","1.15"
"subject","1.16-01","Ethnologie und Europäische Ethnologie","1.16"
"subject","1.16-02","Asienbezogene Wissenschaften","1.16"
"subject","1.16-03","Afrika-, Amerika- und Ozeanienbezogene Wissenschaften","1.16"
"subject","1.16-04","Islamwissenschaft, Arabistik, Semitistik","1.16"
"subject","1.16-05","Religionswissenschaft und Judaistik","1.16"
"subject","1.17-01","Evangelische Theologie","1.17"
"subject","1.17-02","Katholische Theologie","1.17"
"subject","1.18-01","Geschichte der Philosophie","1.18"
"subject","1.18-02","Theoretische Philosophie","1.18"
"subject","1.18-03","Praktische Philosophie","1.18"
"subject","1.21-01","Allgemeine und Historische Erziehungswissenschaft","1.21"
"subject","1.21-02","Allgemeines und fachbezogenes Lehren und Lernen","1.21"
"subject","1.21-03","Bildungssysteme und Bildungsinstitutionen","1.21"
"subject","1.21-04","Erziehungswissenschaftliche Sozialisations- und Professionalitätsforschung","1.21"
"subject","1.22-01","Allgemeine, Kognitive und Mathematische Psychologie","1.22"
"subject","1.22-02","Biologische Psychologie und Kognitive Neurowissenschaften","1.22"
"subject","1.22-03","Entwicklungspsychologie und Pädagogische Psychologie","1.22"
"subject","1.22-04","Sozialpsychologie und Arbeits- und Organisationspsychologie","1.22"
"subject","1.22-05","Persönlichkeitspsychologie, Klinische und Medizinische Psychologie, Methoden","1.22"
"subject","1.23-01","Soziologische Theorie","1.23"
"subject","1.23-02","Empirische Sozialforschung","1.23"
"subject","1.23-03","Publizistik und Kommunikationswissenschaft","1.23"
"subject","1.23-04","Politikwissenschaft","1.23"
"subject","1.24-01","Wirtschaftstheorie","1.24"
"subject","1.24-02","Wirtschaftspolitik, Angewandte Volkswirtschaftslehre","1.24"
"subject","1.24-03","Accounting und Finance","1.24"
"subject","1.24-04","Management und Marketing","1.24"
"subject","1.24-05","Operations Management und BWL-spezifische Wirtschaftsinformatik","1.24"
"subject","1.24-06","Statistik und Ökonometrie","1.24"
"subject","1.24-07","Wirtschafts- und Sozialgeschichte","1.24"
"subject","1.25-01","Grundlagen des Rechts und der Rechtswissenschaft","1.25"
"subject","1.25-02","Privatrecht","1.25"
"subject","1.25-03","Öffentliches Recht","1.25"
"subject","1.25-04","Strafrecht","1.25"
"subject","1.25-05","Kriminologie","1.25"
"subject","2.11-01","Biochemie","2.11"
"subject","2.11-02","Biophysik","2.11"
"subject","2.11-03","Zellbiologie","2.11"
"subject","2.11-04","Strukturbiologie","2.11"
"subject","2.11-05","Allgemeine Genetik und funktionelle Genomforschung","2.11"
"subject","2.11-06","Entwicklungsbiologie","2.11"
"subject","2.11-07","Bioinformatik und Theoretische Biologie","2.11"
"subject","2.12-01","Evolution und Systematik der Pflanzen und Pilze","2.12"
"subject","2.12-02","Ökologie und Biodiversität der Pflanzen und Ökosysteme","2.12"
"subject","2.12-03","Organismische Interaktionen, chemische Ökologie und Mikrobiome pflanzlicher Systeme","2.12"
"subject","2.12-04","Pflanzenphysiologie","2.12"
"subject","2.12-05","Biochemie und Biophysik der Pflanzen","2.12"
"subject","2.12-06","Zell- und Entwicklungsbiologie der Pflanzen","2.12"
"subject","2.12-07","Genetik und Genomik der Pflanzen","2.12"
"subject","2.13-01","Systematik und Morphologie der Tiere","2.13"
"subject","2.13-02","Evolution, Anthropologie","2.13"
"subject","2.13-03","Ökologie und Biodiversität der Tiere und Ökosysteme, Organismische Interaktionen","2.13"
"subject","2.13-04","Biologie des Verhaltens und der Sinne","2.13"
"subject","2.13-05","Biochemie und Physiologie der Tiere","2.13"
"subject","2.13-06","Evolutionäre Zell- und Entwicklungsbiologie der Tiere","2.13"
"subject","2.21-01","Stoffwechselphysiologie, Biochemie und Genetik der Mikroorganismen","2.21"
"subject","2.21-02","Mikrobielle Ökologie und Angewandte Mikrobiologie","2.21"
"subject","2.21-03","Medizinische Mikrobiologie und Mykologie, Hygiene, Molekulare Infektionsbiologie","2.21"
"subject","2.21-04","Virologie","2.21"
"subject","2.21-05","Immunologie","2.21"
"subject","2.21-06","Parasitologie und Biologie der Erreger tropischer Infektionskrankheiten","2.21"
"subject","2.22-01","Epidemiologie und Medizinische Biometrie/Statistik","2.22"
"subject","2.22-02","Public Health, Gesundheitsbezogene Versorgungsforschung, Sozial- und Arbeitsmedizin","2.22"
