"concept","broader","enLabel","deLabel"
"http://data.europa.eu/8mn/euroscivoc/003461b1-d367-4c84-b5e4-ab5e4943437d","http://data.europa.eu/8mn/euroscivoc/8f5a6a53-4d7c-471d-8af2-3f4b57e4655e","land management","Landmanagement"
"http://data.europa.eu/8mn/euroscivoc/00401515-e61c-4f33-bcb0-33ff40c6aa20","http://data.europa.eu/8mn/euroscivoc/1f6c74df-a512-462e-99aa-8dcbaa98972a","relational databases","relationale Datenbanken"
"http://data.europa.eu/8mn/euroscivoc/0085a6d1-0b32-479f-a560-0cbf6cffee9b","http://data.europa.eu/8mn/euroscivoc/b400cbdb-9e22-43cf-8933-0e034a0a5871","astronautical engineering","Raumfahrttechnik"
"http://data.europa.eu/8mn/euroscivoc/0098835d-37c8-414a-b147-d8d3d11aa64b","http://data.europa.eu/8mn/euroscivoc/3961e9d2-ab3b-451b-b246-20fc0ec3b0c4","renal dialysis","Nierendialyse"
"http://data.europa.eu/8mn/euroscivoc/00a28aba-3218-4825-a8ed-5929fde51130","http://data.europa.eu/8mn/euroscivoc/41d8a14d-6def-402e-b6e5-09d1cd8d3fc4","galactic astronomy","galaktische Astronomie"
"http://data.europa.eu/8mn/euroscivoc/00a5c4f4-b7ee-41a4-bcdf-3a02e6be1660","http://data.europa.eu/8mn/euroscivoc/a348fcd2-3bdd-46f9-aa2c-a91301f1e12e","clinical neurology","klinische Neurologie"
"http://data.europa.eu/8mn/euroscivoc/00bf0451-768a-448d-855b-8f45a401b488","http://data.europa.eu/8mn/euroscivoc/763cdd4c-3c18-4fa5-91be-fc6c8754d116","mammalogy","Mammalogie"
"http://data.europa.eu/8mn/euroscivoc/00ec24cf-bc96-4a3f-9cf9-c0715e98354c","http://data.europa.eu/8mn/euroscivoc/b078d965-cd9f-438b-888e-a86a2137ca10","business intelligence","Geschäftsanalytik"
"http://data.europa.eu/8mn/euroscivoc/01fc32f3-a4fb-4c1b-8340-888f2fca1a90","http://data.europa.eu/8mn/euroscivoc/5c631d7c-2a8c-40b4-9ba9-71121e2d5e63","pathology","Pathologie"
"http://data.europa.eu/8mn/euroscivoc/0212589d-84da-40f5-a8a4-384909a60e39","http://data.europa.eu/8mn/euroscivoc/3de50dee-da1c-4791-a386-56bca24a5fed","anxiety disorders","Angststörungen"
"http://data.europa.eu/8mn/euroscivoc/021bf00b-fbb1-487a-b79c-feacbb17b814","http://data.europa.eu/8mn/euroscivoc/803cff73-504b-41ae-9873-1836c76c15d1","neurobiology","Neurobiologie"
"http://data.europa.eu/8mn/euroscivoc/02695258-7117-47a3-8b32-bbf861dae234","http://data.europa.eu/8mn/euroscivoc/b400cbdb-9e22-43cf-8933-0e034a0a5871","aircraft","Flugzeug"
"http://data.europa.eu/8mn/euroscivoc/02fb94bf-d412-425c-8f85-f9b9d5068268","http://data.europa.eu/8mn/euroscivoc/74f1f6d9-2480-440a-a168-82967a9677ef","planets","Planeten"
"http://data.europa.eu/8mn/euroscivoc/0306abc2-9dc2-4c34-a8b1-8d6c3674d5ea","http://data.europa.eu/8mn/euroscivoc/3de50dee-da1c-4791-a386-56bca24a5fed","sleep disorders","Schlafstörungen"
"http://data.europa.eu/8mn/euroscivoc/034233ce-1065-4da8-b501-54f951afd7ab","http://data.europa.eu/8mn/euroscivoc/f8714203-d97f-4852-b051-3b63b2795faa","political communication","politische Kommunikation"
"http://data.europa.eu/8mn/euroscivoc/03b527bb-d9bd-4191-a424-775f6af730f0","http://data.europa.eu/8mn/euroscivoc/10352c4c-328e-4dac-a89c-44b6be1420e9","chemical process engineering","chemische Verfahrenstechnik"
"http://data.europa.eu/8mn/euroscivoc/03ba2800-ce81-400c-b0b4-c9d84c9f9976","http://data.europa.eu/8mn/euroscivoc/c3f7741c-652b-44cc-9062-491fc41aed2f","object detection","Objekterkennung"
"http://data.europa.eu/8mn/euroscivoc/04031aa6-3d4a-4265-8571-0f34dd07fd76","http://data.europa.eu/8mn/euroscivoc/9ca92e56-2da1-4d52-a0dc-384fee40d4ba","influenza","Grippe"
"http://data.europa.eu/8mn/euroscivoc/0432df49-4127-42da-9eae-d07d8061f62d","http://data.europa.eu/8mn/euroscivoc/531bd18a-eedd-4345-8b2f-5464f96615f8","energy and fuels","Energie und Kraftstoffe"
"http://data.europa.eu/8mn/euroscivoc/04589be3-96d0-4963-b753-cf690b001501","http://data.europa.eu/8mn/euroscivoc/a90b6f46-eb48-46d0-81c2-37cf667fd4a5","hydroinformatics","Hydroinformatik"
"http://data.europa.eu/8mn/euroscivoc/045a61fe-3682-4fbb-b03c-92227e64bbf0","http://data.europa.eu/8mn/euroscivoc/4715fd38-1233-4283-8247-32eda72784c8","inquiry based learning","problembasiertes Lernen"
"http://data.europa.eu/8mn/euroscivoc/045d8dc4-1d48-4d18-b8ad-47e9df29100e","http://data.europa.eu/8mn/euroscivoc/742439ad-5d62-4e2d-bd77-0eb7caaa75f4","diagnostic imaging","diagnostische Bildgebung"
"http://data.europa.eu/8mn/euroscivoc/04bae929-c29b-4abe-a923-85bf61235dcd","http://data.europa.eu/8mn/euroscivoc/38815ee2-9bc9-4b76-a62b-be5a1bf832b6","diabetic nephropathy","diabetische Nephropathie"
"http://data.europa.eu/8mn/euroscivoc/052af83f-414d-403b-ba9c-e08d8151bac8","http://data.europa.eu/8mn/euroscivoc/fa9934c6-3223-4927-a17b-0095b3e73ae7","diagnostic technologies","Diagnosetechnologie"
"http://data.europa.eu/8mn/euroscivoc/052bc92d-760c-43ab-958e-2330c72a4212","http://data.europa.eu/8mn/euroscivoc/12c980a5-034f-4cd5-8ce7-fcfe109c675c","economics and business","Wirtschaftswissenschaften"
"http://data.europa.eu/8mn/euroscivoc/052e3c82-191a-4cdd-8547-a6e2400d8b99","http://data.europa.eu/8mn/euroscivoc/b525048b-4d08-420b-b2ac-5cccaaa26d91","revolutions","Revolutionen"
